Looking for shortest distance between Arbre and AlphaCentauri...
  Travel complete, distance: 316 shortest: Infinity longest: -Infinity
  Travel complete, distance: 422 shortest: 185 longest: 637
  Travel complete, distance: 466 shortest: 185 longest: 637
  Travel complete, distance: 402 shortest: 185 longest: 637
  Travel complete, distance: 428 shortest: 185 longest: 637
  Travel complete, distance: 558 shortest: 185 longest: 637
  Travel complete, distance: 472 shortest: 185 longest: 637
  Travel complete, distance: 536 shortest: 185 longest: 637
  Travel complete, distance: 424 shortest: 185 longest: 637
  Travel complete, distance: 471 shortest: 185 longest: 637
  Travel complete, distance: 571 shortest: 185 longest: 637
  Travel complete, distance: 481 shortest: 185 longest: 637
  Travel complete, distance: 499 shortest: 185 longest: 637
  Travel complete, distance: 528 shortest: 185 longest: 637
  Travel complete, distance: 446 shortest: 185 longest: 637
  Travel complete, distance: 368 shortest: 185 longest: 637
  Travel complete, distance: 415 shortest: 185 longest: 637
  Travel complete, distance: 325 shortest: 185 longest: 637
  Travel complete, distance: 334 shortest: 185 longest: 637
  Travel complete, distance: 425 shortest: 185 longest: 637
  Travel complete, distance: 387 shortest: 185 longest: 637
  Travel complete, distance: 410 shortest: 185 longest: 637
  Travel complete, distance: 385 shortest: 185 longest: 637
  Travel complete, distance: 357 shortest: 185 longest: 637
  Travel complete, distance: 376 shortest: 185 longest: 637
  Travel complete, distance: 375 shortest: 185 longest: 637
  Travel complete, distance: 419 shortest: 185 longest: 637
  Travel complete, distance: 480 shortest: 185 longest: 637
  Travel complete, distance: 408 shortest: 185 longest: 637
  Travel complete, distance: 533 shortest: 185 longest: 637
  Travel complete, distance: 452 shortest: 185 longest: 637
  Travel complete, distance: 451 shortest: 185 longest: 637
  Travel complete, distance: 442 shortest: 185 longest: 637
  Travel complete, distance: 327 shortest: 185 longest: 637
  Travel complete, distance: 322 shortest: 185 longest: 637
  Travel complete, distance: 295 shortest: 185 longest: 637
  Travel complete, distance: 250 shortest: 185 longest: 637
  Travel complete, distance: 393 shortest: 185 longest: 637
  Travel complete, distance: 353 shortest: 185 longest: 637
  Travel complete, distance: 380 shortest: 185 longest: 637
  Travel complete, distance: 478 shortest: 185 longest: 637
  Travel complete, distance: 451 shortest: 185 longest: 637
  Travel complete, distance: 397 shortest: 185 longest: 637
  Travel complete, distance: 446 shortest: 185 longest: 637
  Travel complete, distance: 294 shortest: 185 longest: 637
  Travel complete, distance: 338 shortest: 185 longest: 637
  Travel complete, distance: 364 shortest: 185 longest: 637
  Travel complete, distance: 441 shortest: 185 longest: 637
  Travel complete, distance: 355 shortest: 185 longest: 637
  Travel complete, distance: 396 shortest: 185 longest: 637
  Travel complete, distance: 284 shortest: 185 longest: 637
  Travel complete, distance: 501 shortest: 185 longest: 637
  Travel complete, distance: 429 shortest: 185 longest: 637
  Travel complete, distance: 398 shortest: 185 longest: 637
  Travel complete, distance: 317 shortest: 185 longest: 637
  Travel complete, distance: 358 shortest: 185 longest: 637
  Travel complete, distance: 349 shortest: 185 longest: 637
  Travel complete, distance: 419 shortest: 185 longest: 637
  Travel complete, distance: 482 shortest: 185 longest: 637
  Travel complete, distance: 372 shortest: 185 longest: 637
  Travel complete, distance: 495 shortest: 185 longest: 637
  Travel complete, distance: 342 shortest: 185 longest: 637
  Travel complete, distance: 402 shortest: 185 longest: 637
  Travel complete, distance: 526 shortest: 185 longest: 637
  Travel complete, distance: 496 shortest: 185 longest: 637
  Travel complete, distance: 386 shortest: 185 longest: 637
  Travel complete, distance: 306 shortest: 185 longest: 637
  Travel complete, distance: 449 shortest: 185 longest: 637
  Travel complete, distance: 399 shortest: 185 longest: 637
  Travel complete, distance: 564 shortest: 185 longest: 637
  Travel complete, distance: 547 shortest: 185 longest: 637
  Travel complete, distance: 471 shortest: 185 longest: 637
  Travel complete, distance: 344 shortest: 185 longest: 637
  Travel complete, distance: 594 shortest: 185 longest: 637
  Travel complete, distance: 484 shortest: 185 longest: 637
  Travel complete, distance: 420 shortest: 185 longest: 637
  Travel complete, distance: 433 shortest: 185 longest: 637
  Travel complete, distance: 513 shortest: 185 longest: 637
  Travel complete, distance: 323 shortest: 185 longest: 637
  Travel complete, distance: 573 shortest: 185 longest: 637
  Travel complete, distance: 370 shortest: 185 longest: 637
  Travel complete, distance: 288 shortest: 185 longest: 637
  Travel complete, distance: 351 shortest: 185 longest: 637
  Travel complete, distance: 326 shortest: 185 longest: 637
  Travel complete, distance: 449 shortest: 185 longest: 637
  Travel complete, distance: 275 shortest: 185 longest: 637
  Travel complete, distance: 335 shortest: 185 longest: 637
  Travel complete, distance: 480 shortest: 185 longest: 637
  Travel complete, distance: 429 shortest: 185 longest: 637
  Travel complete, distance: 404 shortest: 185 longest: 637
  Travel complete, distance: 375 shortest: 185 longest: 637
  Travel complete, distance: 467 shortest: 185 longest: 637
  Travel complete, distance: 489 shortest: 185 longest: 637
  Travel complete, distance: 433 shortest: 185 longest: 637
  Travel complete, distance: 480 shortest: 185 longest: 637
  Travel complete, distance: 319 shortest: 185 longest: 637
  Travel complete, distance: 328 shortest: 185 longest: 637
  Travel complete, distance: 442 shortest: 185 longest: 637
  Travel complete, distance: 404 shortest: 185 longest: 637
  Travel complete, distance: 289 shortest: 185 longest: 637
  Travel complete, distance: 387 shortest: 185 longest: 637
  Travel complete, distance: 403 shortest: 185 longest: 637
  Travel complete, distance: 349 shortest: 185 longest: 637
  Travel complete, distance: 463 shortest: 185 longest: 637
  Travel complete, distance: 311 shortest: 185 longest: 637
  Travel complete, distance: 405 shortest: 185 longest: 637
  Travel complete, distance: 375 shortest: 185 longest: 637
  Travel complete, distance: 457 shortest: 185 longest: 637
  Travel complete, distance: 377 shortest: 185 longest: 637
  Travel complete, distance: 406 shortest: 185 longest: 637
  Travel complete, distance: 356 shortest: 185 longest: 637
  Travel complete, distance: 490 shortest: 185 longest: 637
  Travel complete, distance: 439 shortest: 185 longest: 637
  Travel complete, distance: 521 shortest: 185 longest: 637
  Travel complete, distance: 492 shortest: 185 longest: 637
  Travel complete, distance: 491 shortest: 185 longest: 637
  Travel complete, distance: 513 shortest: 185 longest: 637
  Travel complete, distance: 350 shortest: 185 longest: 637
  Travel complete, distance: 301 shortest: 185 longest: 637
  Travel complete, distance: 329 shortest: 185 longest: 637
  Travel complete, distance: 352 shortest: 185 longest: 637
  Travel complete, distance: 249 shortest: 185 longest: 637
  Travel complete, distance: 321 shortest: 185 longest: 637
  Travel complete, distance: 392 shortest: 185 longest: 637
  Travel complete, distance: 394 shortest: 185 longest: 637
  Travel complete, distance: 413 shortest: 185 longest: 637
  Travel complete, distance: 466 shortest: 185 longest: 637
  Travel complete, distance: 363 shortest: 185 longest: 637
  Travel complete, distance: 414 shortest: 185 longest: 637
  Travel complete, distance: 425 shortest: 185 longest: 637
  Travel complete, distance: 408 shortest: 185 longest: 637
  Travel complete, distance: 439 shortest: 185 longest: 637
  Travel complete, distance: 312 shortest: 185 longest: 637
  Travel complete, distance: 486 shortest: 185 longest: 637
  Travel complete, distance: 376 shortest: 185 longest: 637
  Travel complete, distance: 340 shortest: 185 longest: 637
  Travel complete, distance: 387 shortest: 185 longest: 637
  Travel complete, distance: 418 shortest: 185 longest: 637
  Travel complete, distance: 427 shortest: 185 longest: 637
  Travel complete, distance: 401 shortest: 185 longest: 637
  Travel complete, distance: 363 shortest: 185 longest: 637
  Travel complete, distance: 247 shortest: 185 longest: 637
  Travel complete, distance: 198 shortest: 185 longest: 637
  Travel complete, distance: 311 shortest: 185 longest: 637
  Travel complete, distance: 334 shortest: 185 longest: 637
  Travel complete, distance: 184 shortest: 185 longest: 637
  Travel complete, distance: 256 shortest: 184 longest: 637
  Travel complete, distance: 434 shortest: 184 longest: 637
  Travel complete, distance: 338 shortest: 184 longest: 637
  Travel complete, distance: 370 shortest: 184 longest: 637
  Travel complete, distance: 410 shortest: 184 longest: 637
  Travel complete, distance: 260 shortest: 184 longest: 637
  Travel complete, distance: 396 shortest: 184 longest: 637
  Travel complete, distance: 416 shortest: 184 longest: 637
  Travel complete, distance: 429 shortest: 184 longest: 637
  Travel complete, distance: 523 shortest: 184 longest: 637
  Travel complete, distance: 333 shortest: 184 longest: 637
  Travel complete, distance: 621 shortest: 184 longest: 637
  Travel complete, distance: 418 shortest: 184 longest: 637
  Travel complete, distance: 352 shortest: 184 longest: 637
  Travel complete, distance: 450 shortest: 184 longest: 637
  Travel complete, distance: 544 shortest: 184 longest: 637
  Travel complete, distance: 490 shortest: 184 longest: 637
  Travel complete, distance: 557 shortest: 184 longest: 637
  Travel complete, distance: 405 shortest: 184 longest: 637
  Travel complete, distance: 445 shortest: 184 longest: 637
  Travel complete, distance: 447 shortest: 184 longest: 637
  Travel complete, distance: 530 shortest: 184 longest: 637
  Travel complete, distance: 583 shortest: 184 longest: 637
  Travel complete, distance: 340 shortest: 184 longest: 637
  Travel complete, distance: 391 shortest: 184 longest: 637
  Travel complete, distance: 590 shortest: 184 longest: 637
  Travel complete, distance: 494 shortest: 184 longest: 637
  Travel complete, distance: 505 shortest: 184 longest: 637
  Travel complete, distance: 545 shortest: 184 longest: 637
  Travel complete, distance: 302 shortest: 184 longest: 637
  Travel complete, distance: 438 shortest: 184 longest: 637
  Travel complete, distance: 235 shortest: 184 longest: 637
  Travel complete, distance: 340 shortest: 184 longest: 637
  Travel complete, distance: 329 shortest: 184 longest: 637
  Travel complete, distance: 412 shortest: 184 longest: 637
  Travel complete, distance: 299 shortest: 184 longest: 637
  Travel complete, distance: 277 shortest: 184 longest: 637
  Travel complete, distance: 374 shortest: 184 longest: 637
  Travel complete, distance: 344 shortest: 184 longest: 637
  Travel complete, distance: 333 shortest: 184 longest: 637
  Travel complete, distance: 253 shortest: 184 longest: 637
  Travel complete, distance: 438 shortest: 184 longest: 637
  Travel complete, distance: 388 shortest: 184 longest: 637
  Travel complete, distance: 422 shortest: 184 longest: 637
  Travel complete, distance: 464 shortest: 184 longest: 637
  Travel complete, distance: 287 shortest: 184 longest: 637
  Travel complete, distance: 301 shortest: 184 longest: 637
  Travel complete, distance: 370 shortest: 184 longest: 637
  Travel complete, distance: 342 shortest: 184 longest: 637
  Travel complete, distance: 236 shortest: 184 longest: 637
  Travel complete, distance: 308 shortest: 184 longest: 637
  Travel complete, distance: 371 shortest: 184 longest: 637
  Travel complete, distance: 280 shortest: 184 longest: 637
  Travel complete, distance: 349 shortest: 184 longest: 637
  Travel complete, distance: 186 shortest: 184 longest: 637
  Travel complete, distance: 366 shortest: 184 longest: 637
  Travel complete, distance: 471 shortest: 184 longest: 637
  Travel complete, distance: 414 shortest: 184 longest: 637
  Travel complete, distance: 497 shortest: 184 longest: 637
  Travel complete, distance: 363 shortest: 184 longest: 637
  Travel complete, distance: 341 shortest: 184 longest: 637
  Travel complete, distance: 459 shortest: 184 longest: 637
  Travel complete, distance: 408 shortest: 184 longest: 637
  Travel complete, distance: 351 shortest: 184 longest: 637
  Travel complete, distance: 322 shortest: 184 longest: 637
  Travel complete, distance: 456 shortest: 184 longest: 637
  Travel complete, distance: 478 shortest: 184 longest: 637
  Travel complete, distance: 553 shortest: 184 longest: 637
  Travel complete, distance: 528 shortest: 184 longest: 637
  Travel complete, distance: 397 shortest: 184 longest: 637
  Travel complete, distance: 416 shortest: 184 longest: 637
  Travel complete, distance: 480 shortest: 184 longest: 637
  Travel complete, distance: 524 shortest: 184 longest: 637
  Travel complete, distance: 367 shortest: 184 longest: 637
  Travel complete, distance: 393 shortest: 184 longest: 637
  Travel complete, distance: 523 shortest: 184 longest: 637
  Travel complete, distance: 437 shortest: 184 longest: 637
  Travel complete, distance: 501 shortest: 184 longest: 637
  Travel complete, distance: 389 shortest: 184 longest: 637
  Travel complete, distance: 384 shortest: 184 longest: 637
  Travel complete, distance: 354 shortest: 184 longest: 637
  Travel complete, distance: 436 shortest: 184 longest: 637
  Travel complete, distance: 356 shortest: 184 longest: 637
  Travel complete, distance: 385 shortest: 184 longest: 637
  Travel complete, distance: 335 shortest: 184 longest: 637
  Travel complete, distance: 338 shortest: 184 longest: 637
  Travel complete, distance: 287 shortest: 184 longest: 637
  Travel complete, distance: 369 shortest: 184 longest: 637
  Travel complete, distance: 340 shortest: 184 longest: 637
  Travel complete, distance: 339 shortest: 184 longest: 637
  Travel complete, distance: 361 shortest: 184 longest: 637
  Travel complete, distance: 297 shortest: 184 longest: 637
  Travel complete, distance: 248 shortest: 184 longest: 637
  Travel complete, distance: 276 shortest: 184 longest: 637
  Travel complete, distance: 299 shortest: 184 longest: 637
  Travel complete, distance: 196 shortest: 184 longest: 637
  Travel complete, distance: 268 shortest: 184 longest: 637
  Travel complete, distance: 381 shortest: 184 longest: 637
  Travel complete, distance: 383 shortest: 184 longest: 637
  Travel complete, distance: 402 shortest: 184 longest: 637
  Travel complete, distance: 455 shortest: 184 longest: 637
  Travel complete, distance: 352 shortest: 184 longest: 637
  Travel complete, distance: 403 shortest: 184 longest: 637
  Travel complete, distance: 315 shortest: 184 longest: 637
  Travel complete, distance: 357 shortest: 184 longest: 637
  Travel complete, distance: 319 shortest: 184 longest: 637
  Travel complete, distance: 333 shortest: 184 longest: 637
  Travel complete, distance: 294 shortest: 184 longest: 637
  Travel complete, distance: 266 shortest: 184 longest: 637
  Travel complete, distance: 361 shortest: 184 longest: 637
  Travel complete, distance: 336 shortest: 184 longest: 637
  Travel complete, distance: 298 shortest: 184 longest: 637
  Travel complete, distance: 317 shortest: 184 longest: 637
  Travel complete, distance: 340 shortest: 184 longest: 637
  Travel complete, distance: 384 shortest: 184 longest: 637
  Travel complete, distance: 226 shortest: 184 longest: 637
  Travel complete, distance: 177 shortest: 184 longest: 637
  Travel complete, distance: 159 shortest: 177 longest: 637
  Travel complete, distance: 182 shortest: 159 longest: 637
  Travel complete, distance: 173 shortest: 159 longest: 637
  Travel complete, distance: 245 shortest: 159 longest: 637
  Travel complete, distance: 242 shortest: 159 longest: 637
  Travel complete, distance: 218 shortest: 159 longest: 637
  Travel complete, distance: 309 shortest: 159 longest: 637
  Travel complete, distance: 290 shortest: 159 longest: 637
  Travel complete, distance: 281 shortest: 159 longest: 637
  Travel complete, distance: 286 shortest: 159 longest: 637
  Travel complete, distance: 222 shortest: 159 longest: 637
  Travel complete, distance: 294 shortest: 159 longest: 637
  Travel complete, distance: 361 shortest: 159 longest: 637
  Travel complete, distance: 270 shortest: 159 longest: 637
  Travel complete, distance: 387 shortest: 159 longest: 637
  Travel complete, distance: 224 shortest: 159 longest: 637
  Travel complete, distance: 289 shortest: 159 longest: 637
  Travel complete, distance: 315 shortest: 159 longest: 637
  Travel complete, distance: 382 shortest: 159 longest: 637
  Travel complete, distance: 296 shortest: 159 longest: 637
  Travel complete, distance: 454 shortest: 159 longest: 637
  Travel complete, distance: 342 shortest: 159 longest: 637
  Travel complete, distance: 424 shortest: 159 longest: 637
  Travel complete, distance: 426 shortest: 159 longest: 637
  Travel complete, distance: 378 shortest: 159 longest: 637
  Travel complete, distance: 431 shortest: 159 longest: 637
  Travel complete, distance: 287 shortest: 159 longest: 637
  Travel complete, distance: 338 shortest: 159 longest: 637
  Travel complete, distance: 356 shortest: 159 longest: 637
  Travel complete, distance: 332 shortest: 159 longest: 637
  Travel complete, distance: 402 shortest: 159 longest: 637
  Travel complete, distance: 383 shortest: 159 longest: 637
  Travel complete, distance: 239 shortest: 159 longest: 637
  Travel complete, distance: 244 shortest: 159 longest: 637
  Travel complete, distance: 331 shortest: 159 longest: 637
  Travel complete, distance: 431 shortest: 159 longest: 637
  Travel complete, distance: 472 shortest: 159 longest: 637
  Travel complete, distance: 490 shortest: 159 longest: 637
  Travel complete, distance: 455 shortest: 159 longest: 637
  Travel complete, distance: 373 shortest: 159 longest: 637
  Travel complete, distance: 452 shortest: 159 longest: 637
  Travel complete, distance: 435 shortest: 159 longest: 637
  Travel complete, distance: 476 shortest: 159 longest: 637
  Travel complete, distance: 349 shortest: 159 longest: 637
  Travel complete, distance: 576 shortest: 159 longest: 637
  Travel complete, distance: 466 shortest: 159 longest: 637
  Travel complete, distance: 462 shortest: 159 longest: 637
  Travel complete, distance: 504 shortest: 159 longest: 637
  Travel complete, distance: 345 shortest: 159 longest: 637
  Travel complete, distance: 359 shortest: 159 longest: 637
  Travel complete, distance: 363 shortest: 159 longest: 637
  Travel complete, distance: 335 shortest: 159 longest: 637
  Travel complete, distance: 392 shortest: 159 longest: 637
  Travel complete, distance: 451 shortest: 159 longest: 637
  Travel complete, distance: 509 shortest: 159 longest: 637
  Travel complete, distance: 423 shortest: 159 longest: 637
  Travel complete, distance: 427 shortest: 159 longest: 637
  Travel complete, distance: 282 shortest: 159 longest: 637
  Travel complete, distance: 377 shortest: 159 longest: 637
  Travel complete, distance: 477 shortest: 159 longest: 637
  Travel complete, distance: 387 shortest: 159 longest: 637
  Travel complete, distance: 405 shortest: 159 longest: 637
  Travel complete, distance: 434 shortest: 159 longest: 637
  Travel complete, distance: 352 shortest: 159 longest: 637
  Travel complete, distance: 367 shortest: 159 longest: 637
  Travel complete, distance: 414 shortest: 159 longest: 637
  Travel complete, distance: 324 shortest: 159 longest: 637
  Travel complete, distance: 333 shortest: 159 longest: 637
  Travel complete, distance: 424 shortest: 159 longest: 637
  Travel complete, distance: 386 shortest: 159 longest: 637
  Travel complete, distance: 508 shortest: 159 longest: 637
  Travel complete, distance: 483 shortest: 159 longest: 637
  Travel complete, distance: 455 shortest: 159 longest: 637
  Travel complete, distance: 474 shortest: 159 longest: 637
  Travel complete, distance: 473 shortest: 159 longest: 637
  Travel complete, distance: 517 shortest: 159 longest: 637
  Travel complete, distance: 438 shortest: 159 longest: 637
  Travel complete, distance: 366 shortest: 159 longest: 637
  Travel complete, distance: 491 shortest: 159 longest: 637
  Travel complete, distance: 410 shortest: 159 longest: 637
  Travel complete, distance: 409 shortest: 159 longest: 637
  Travel complete, distance: 400 shortest: 159 longest: 637
  Travel complete, distance: 359 shortest: 159 longest: 637
  Travel complete, distance: 342 shortest: 159 longest: 637
  Travel complete, distance: 373 shortest: 159 longest: 637
  Travel complete, distance: 246 shortest: 159 longest: 637
  Travel complete, distance: 420 shortest: 159 longest: 637
  Travel complete, distance: 310 shortest: 159 longest: 637
  Travel complete, distance: 228 shortest: 159 longest: 637
  Travel complete, distance: 275 shortest: 159 longest: 637
  Travel complete, distance: 306 shortest: 159 longest: 637
  Travel complete, distance: 315 shortest: 159 longest: 637
  Travel complete, distance: 289 shortest: 159 longest: 637
  Travel complete, distance: 251 shortest: 159 longest: 637
  Travel complete, distance: 252 shortest: 159 longest: 637
  Travel complete, distance: 203 shortest: 159 longest: 637
  Travel complete, distance: 316 shortest: 159 longest: 637
  Travel complete, distance: 339 shortest: 159 longest: 637
  Travel complete, distance: 189 shortest: 159 longest: 637
  Travel complete, distance: 261 shortest: 159 longest: 637
  Travel complete, distance: 416 shortest: 159 longest: 637
  Travel complete, distance: 320 shortest: 159 longest: 637
  Travel complete, distance: 352 shortest: 159 longest: 637
  Travel complete, distance: 392 shortest: 159 longest: 637
  Travel complete, distance: 242 shortest: 159 longest: 637
  Travel complete, distance: 378 shortest: 159 longest: 637
  Travel complete, distance: 270 shortest: 159 longest: 637
  Travel complete, distance: 312 shortest: 159 longest: 637
  Travel complete, distance: 274 shortest: 159 longest: 637
  Travel complete, distance: 288 shortest: 159 longest: 637
  Travel complete, distance: 249 shortest: 159 longest: 637
  Travel complete, distance: 221 shortest: 159 longest: 637
  Travel complete, distance: 401 shortest: 159 longest: 637
  Travel complete, distance: 376 shortest: 159 longest: 637
  Travel complete, distance: 338 shortest: 159 longest: 637
  Travel complete, distance: 357 shortest: 159 longest: 637
  Travel complete, distance: 380 shortest: 159 longest: 637
  Travel complete, distance: 424 shortest: 159 longest: 637
  Travel complete, distance: 284 shortest: 159 longest: 637
  Travel complete, distance: 235 shortest: 159 longest: 637
  Travel complete, distance: 217 shortest: 159 longest: 637
  Travel complete, distance: 240 shortest: 159 longest: 637
  Travel complete, distance: 231 shortest: 159 longest: 637
  Travel complete, distance: 303 shortest: 159 longest: 637
  Travel complete, distance: 235 shortest: 159 longest: 637
  Travel complete, distance: 211 shortest: 159 longest: 637
  Travel complete, distance: 302 shortest: 159 longest: 637
  Travel complete, distance: 283 shortest: 159 longest: 637
  Travel complete, distance: 274 shortest: 159 longest: 637
  Travel complete, distance: 279 shortest: 159 longest: 637
  Travel complete, distance: 340 shortest: 159 longest: 637
  Travel complete, distance: 399 shortest: 159 longest: 637
  Travel complete, distance: 461 shortest: 159 longest: 637
  Travel complete, distance: 375 shortest: 159 longest: 637
  Travel complete, distance: 389 shortest: 159 longest: 637
  Travel complete, distance: 244 shortest: 159 longest: 637
  Travel complete, distance: 407 shortest: 159 longest: 637
  Travel complete, distance: 335 shortest: 159 longest: 637
  Travel complete, distance: 397 shortest: 159 longest: 637
  Travel complete, distance: 316 shortest: 159 longest: 637
  Travel complete, distance: 456 shortest: 159 longest: 637
  Travel complete, distance: 447 shortest: 159 longest: 637
  Travel complete, distance: 524 shortest: 159 longest: 637
  Travel complete, distance: 428 shortest: 159 longest: 637
  Travel complete, distance: 393 shortest: 159 longest: 637
  Travel complete, distance: 433 shortest: 159 longest: 637
  Travel complete, distance: 307 shortest: 159 longest: 637
  Travel complete, distance: 443 shortest: 159 longest: 637
  Travel complete, distance: 311 shortest: 159 longest: 637
  Travel complete, distance: 287 shortest: 159 longest: 637
  Travel complete, distance: 442 shortest: 159 longest: 637
  Travel complete, distance: 423 shortest: 159 longest: 637
  Travel complete, distance: 297 shortest: 159 longest: 637
  Travel complete, distance: 302 shortest: 159 longest: 637
  Travel complete, distance: 311 shortest: 159 longest: 637
  Travel complete, distance: 306 shortest: 159 longest: 637
  Travel complete, distance: 410 shortest: 159 longest: 637
  Travel complete, distance: 365 shortest: 159 longest: 637
  Travel complete, distance: 423 shortest: 159 longest: 637
  Travel complete, distance: 383 shortest: 159 longest: 637
  Travel complete, distance: 432 shortest: 159 longest: 637
  Travel complete, distance: 445 shortest: 159 longest: 637
  Travel complete, distance: 549 shortest: 159 longest: 637
  Travel complete, distance: 359 shortest: 159 longest: 637
  Travel complete, distance: 544 shortest: 159 longest: 637
  Travel complete, distance: 341 shortest: 159 longest: 637
  Travel complete, distance: 400 shortest: 159 longest: 637
  Travel complete, distance: 472 shortest: 159 longest: 637
  Travel complete, distance: 418 shortest: 159 longest: 637
  Travel complete, distance: 327 shortest: 159 longest: 637
  Travel complete, distance: 373 shortest: 159 longest: 637
  Travel complete, distance: 210 shortest: 159 longest: 637
  Travel complete, distance: 516 shortest: 159 longest: 637
  Travel complete, distance: 575 shortest: 159 longest: 637
  Travel complete, distance: 498 shortest: 159 longest: 637
  Travel complete, distance: 412 shortest: 159 longest: 637
  Travel complete, distance: 458 shortest: 159 longest: 637
  Travel complete, distance: 313 shortest: 159 longest: 637
  Travel complete, distance: 378 shortest: 159 longest: 637
  Travel complete, distance: 373 shortest: 159 longest: 637
  Travel complete, distance: 346 shortest: 159 longest: 637
  Travel complete, distance: 301 shortest: 159 longest: 637
  Travel complete, distance: 444 shortest: 159 longest: 637
  Travel complete, distance: 404 shortest: 159 longest: 637
  Travel complete, distance: 368 shortest: 159 longest: 637
  Travel complete, distance: 466 shortest: 159 longest: 637
  Travel complete, distance: 439 shortest: 159 longest: 637
  Travel complete, distance: 385 shortest: 159 longest: 637
  Travel complete, distance: 434 shortest: 159 longest: 637
  Travel complete, distance: 282 shortest: 159 longest: 637
  Travel complete, distance: 467 shortest: 159 longest: 637
  Travel complete, distance: 493 shortest: 159 longest: 637
  Travel complete, distance: 570 shortest: 159 longest: 637
  Travel complete, distance: 484 shortest: 159 longest: 637
  Travel complete, distance: 525 shortest: 159 longest: 637
  Travel complete, distance: 413 shortest: 159 longest: 637
  Travel complete, distance: 583 shortest: 159 longest: 637
  Travel complete, distance: 511 shortest: 159 longest: 637
  Travel complete, distance: 480 shortest: 159 longest: 637
  Travel complete, distance: 399 shortest: 159 longest: 637
  Travel complete, distance: 440 shortest: 159 longest: 637
  Travel complete, distance: 431 shortest: 159 longest: 637
  Travel complete, distance: 495 shortest: 159 longest: 637
  Travel complete, distance: 508 shortest: 159 longest: 637
  Travel complete, distance: 602 shortest: 159 longest: 637
  Travel complete, distance: 412 shortest: 159 longest: 637
  Travel complete, distance: 700 shortest: 159 longest: 637
  Travel complete, distance: 497 shortest: 159 longest: 700
  Travel complete, distance: 364 shortest: 159 longest: 700
  Travel complete, distance: 462 shortest: 159 longest: 700
  Travel complete, distance: 556 shortest: 159 longest: 700
  Travel complete, distance: 502 shortest: 159 longest: 700
  Travel complete, distance: 569 shortest: 159 longest: 700
  Travel complete, distance: 417 shortest: 159 longest: 700
  Travel complete, distance: 481 shortest: 159 longest: 700
  Travel complete, distance: 483 shortest: 159 longest: 700
  Travel complete, distance: 566 shortest: 159 longest: 700
  Travel complete, distance: 619 shortest: 159 longest: 700
  Travel complete, distance: 376 shortest: 159 longest: 700
  Travel complete, distance: 427 shortest: 159 longest: 700
  Travel complete, distance: 561 shortest: 159 longest: 700
  Travel complete, distance: 465 shortest: 159 longest: 700
  Travel complete, distance: 476 shortest: 159 longest: 700
  Travel complete, distance: 516 shortest: 159 longest: 700
  Travel complete, distance: 273 shortest: 159 longest: 700
  Travel complete, distance: 409 shortest: 159 longest: 700
  Travel complete, distance: 322 shortest: 159 longest: 700
  Travel complete, distance: 394 shortest: 159 longest: 700
  Travel complete, distance: 461 shortest: 159 longest: 700
  Travel complete, distance: 370 shortest: 159 longest: 700
  Travel complete, distance: 487 shortest: 159 longest: 700
  Travel complete, distance: 324 shortest: 159 longest: 700
  Travel complete, distance: 453 shortest: 159 longest: 700
  Travel complete, distance: 479 shortest: 159 longest: 700
  Travel complete, distance: 546 shortest: 159 longest: 700
  Travel complete, distance: 460 shortest: 159 longest: 700
  Travel complete, distance: 618 shortest: 159 longest: 700
  Travel complete, distance: 506 shortest: 159 longest: 700
  Travel complete, distance: 471 shortest: 159 longest: 700
  Travel complete, distance: 473 shortest: 159 longest: 700
  Travel complete, distance: 425 shortest: 159 longest: 700
  Travel complete, distance: 478 shortest: 159 longest: 700
  Travel complete, distance: 334 shortest: 159 longest: 700
  Travel complete, distance: 385 shortest: 159 longest: 700
  Travel complete, distance: 380 shortest: 159 longest: 700
  Travel complete, distance: 356 shortest: 159 longest: 700
  Travel complete, distance: 426 shortest: 159 longest: 700
  Travel complete, distance: 407 shortest: 159 longest: 700
  Travel complete, distance: 263 shortest: 159 longest: 700
  Travel complete, distance: 268 shortest: 159 longest: 700
  Travel complete, distance: 485 shortest: 159 longest: 700
  Travel complete, distance: 544 shortest: 159 longest: 700
  Travel complete, distance: 606 shortest: 159 longest: 700
  Travel complete, distance: 520 shortest: 159 longest: 700
  Travel complete, distance: 534 shortest: 159 longest: 700
  Travel complete, distance: 389 shortest: 159 longest: 700
  Travel complete, distance: 531 shortest: 159 longest: 700
  Travel complete, distance: 459 shortest: 159 longest: 700
  Travel complete, distance: 521 shortest: 159 longest: 700
  Travel complete, distance: 440 shortest: 159 longest: 700
  Travel complete, distance: 580 shortest: 159 longest: 700
  Travel complete, distance: 571 shortest: 159 longest: 700
  Travel complete, distance: 513 shortest: 159 longest: 700
  Travel complete, distance: 417 shortest: 159 longest: 700
  Travel complete, distance: 382 shortest: 159 longest: 700
  Travel complete, distance: 422 shortest: 159 longest: 700
  Travel complete, distance: 296 shortest: 159 longest: 700
  Travel complete, distance: 432 shortest: 159 longest: 700
  Travel complete, distance: 342 shortest: 159 longest: 700
  Travel complete, distance: 318 shortest: 159 longest: 700
  Travel complete, distance: 473 shortest: 159 longest: 700
  Travel complete, distance: 454 shortest: 159 longest: 700
  Travel complete, distance: 328 shortest: 159 longest: 700
  Travel complete, distance: 333 shortest: 159 longest: 700
